index,source,target,distanceNorm
0,57,73,0.8655005346807496
1,57,124,0.9044257235072436
2,73,124,0.999224795804465
4,73,132,0.8621593795488184
5,124,132,0.8971350038244824
7,73,133,0.998251797810246
8,124,133,0.9951567864207744
10,57,163,0.9044257235072436
11,73,163,0.9978560064394606
12,124,163,0.9996585391064166
13,132,163,0.8561676688092918
14,133,163,0.9922583028780568
16,73,249,0.8871153229459033
17,124,249,0.916409604052374
20,163,249,0.9080780570811606
22,73,275,0.9975016360804622
23,124,275,0.9939557272122274
25,133,275,0.9999330063946646
26,163,275,0.9907609663925556
37,73,311,0.9665735996487572
38,124,311,0.961361614813832
40,133,311,0.9098751153233058
41,163,311,0.8980790027817479
43,275,311,0.8868446681842265
46,73,313,0.9426169885835236
1,7,10,0.9097286306781664
2,9,10,0.9592559953057732
5,10,17,0.9951315178589408
8,10,21,0.9133277646033272
10,7,32,0.8669790463556799
11,9,32,0.9071166564937349
12,10,32,0.998829304465335
17,10,33,0.9967108175642948
23,10,36,0.9984211688107564
30,10,45,0.9906082280761932
33,32,45,0.9772061384131312
36,7,46,0.935416290561476
37,9,46,0.9755202094938036
38,10,46,0.9999098815001703
39,17,46,0.8896688473099738
40,21,46,0.949607015954836
41,32,46,0.998403592667897
42,33,46,0.9448358897232071
43,36,46,0.9764364526711121
44,45,46,0.989706044494168
47,10,57,0.9468565494923552
50,32,57,0.8793388343231383
54,46,57,0.9452561183325776
57,10,69,0.9953981482273512
64,46,69,0.9456261296632988
66,7,71,0.8332621720746897
67,9,71,0.9199429746843876
68,10,71,0.9999901097486732
69,17,71,0.9892637792896588
70,21,71,0.8289061722801105
71,32,71,0.9980956110645348
72,33,71,0.9997272874649938
73,36,71,0.9980642997346956
74,45,71,0.9836008975129968
75,46,71,0.9997509260459246
76,57,71,0.907071141185381
77,69,71,0.9879168010018792
80,10,83,0.999876128379516
83,32,83,0.9389537397404898
84,33,83,0.8804174634879511
85,36,83,0.9178308575221524
87,46,83,0.994531345207772
90,71,83,0.9995861386514032
93,10,85,0.9995735923388844
96,32,85,0.8558045517716731
100,46,85,0.9865172086922828
103,71,85,0.999016970008642
104,83,85,0.968414537836304
105,7,89,0.987246951385406
106,9,89,0.9953851508714284
107,10,89,0.9999727925949532
108,17,89,0.9660026564945982
109,21,89,0.9897112185328908
110,32,89,0.9996549499038794
111,33,89,0.9844451937863828
112,36,89,0.9930050577797828
113,45,89,0.9977621222066304
114,46,89,0.9999990986326702
115,57,89,0.98804664198138
116,69,89,0.9828901708358668
117,71,89,0.9999300962552408
118,83,89,0.998376253241788
119,85,89,0.9959861163270728
122,10,107,0.999935013131987
123,17,107,0.8407124403605791
125,32,107,0.9625716596072648
126,33,107,0.9673506919759416
127,36,107,0.9620563452082124
