lemma,pos,ner
they,PRP,O
.,.,O
we,PRP$,O
client,NN,O
",",",",O
however,RB,O
",",",",O
stare,VBD,O
in,IN,O
amazement,NN,O
.,.,O
"""",``,O
yes,UH,O
",",",",O
I,PRP,O
be,VBP,O
all,PDT,O
that,DT,O
",",",",O
Mr.,NNP,PERSON
Holmes,NNP,PERSON
",",",",O
and,CC,O
in,IN,O
addition,NN,O
I,PRP,O
be,VBP,O
the,DT,O
most,RBS,O
unfortunate,JJ,O
man,NN,O
at,IN,O
this,DT,O
moment,NN,O
in,IN,O
London,NNP,LOCATION
.,.,O
for,IN,O
Heaven,NNP,O
's,POS,O
sake,NN,O
do,VBP,O
not,RB,O
abandon,VB,O
I,PRP,O
",",",",O
Mr.,NNP,PERSON
Holmes,NNP,PERSON
!,.,O
if,IN,O
they,PRP,O
come,VBP,O
to,TO,O
arrest,VB,O
I,PRP,O
before,IN,O
I,PRP,O
have,VBP,O
finish,VBN,O
my,PRP$,O
story,NN,O
",",",",O
make,VB,O
they,PRP,O
give,VB,O
I,PRP,O
time,NN,O
so,IN,O
that,IN,O
I,PRP,O
may,MD,O
tell,VB,O
you,PRP,O
the,DT,O
whole,JJ,O
truth,NN,O
.,.,O
I,PRP,O
could,MD,O
go,VB,O
to,IN,O
jail,NN,O
happy,JJ,O
if,IN,O
I,PRP,O
know,VBD,O
that,IN,O
you,PRP,O
be,VBD,O
work,VBG,O
for,IN,O
I,PRP,O
outside,RB,O
.,.,O
"""",``,O
"""",``,O
arrest,VB,O
you,PRP,O
!,.,O
"""",``,O
say,VBD,O
Holmes,NNP,PERSON
.,.,O
"""",'',O
this,DT,O
be,VBZ,O
really,RB,O
most,RBS,O
grati,JJ,O
--,:,O
most,RBS,O
interesting,JJ,O
.,.,O
on,IN,O
what,WDT,O
charge,NN,O
do,VBP,O
you,PRP,O
expect,VB,O
to,TO,O
be,VB,O
arrest,VBN,O
?,.,O
"""",``,O
"""",``,O
upon,IN,O
the,DT,O
charge,NN,O
of,IN,O
murder,VBG,O
Mr.,NNP,PERSON
Jonas,NNP,PERSON
Oldacre,NNP,PERSON
",",",",O
of,IN,O
Lower,NNP,LOCATION
Norwood,NNP,LOCATION
.,.,O
"""",``,O
my,PRP$,O
companion,NN,O
's,POS,O
expressive,JJ,O
face,NN,O
show,VBD,O
a,DT,O
sympathy,NN,O
which,WDT,O
be,VBD,O
not,RB,O
",",",",O
I,PRP,O
be,VBP,O
afraid,JJ,O
",",",",O
entirely,RB,O
unmixed,JJ,O
with,IN,O
satisfaction,NN,O
.,.,O
"""",'',O
dear,JJ,O
I,PRP,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
;,:,O
"""",``,O
it,PRP,O
be,VBD,O
only,RB,O
this,DT,O
moment,NN,O
at,IN,O
breakfast,NN,O
that,WDT,O
I,PRP,O
be,VBD,O
say,VBG,O
to,IN,O
my,PRP$,O
friend,NN,O
",",",",O
Dr.,NNP,O
Watson,NNP,PERSON
",",",",O
that,DT,O
sensational,JJ,O
case,NNS,O
have,VBD,O
disappear,VBN,O
out,IN,O
of,IN,O
we,PRP$,O
papers,NNS,O
.,.,O
"""",``,O
we,PRP$,O
visitor,NN,O
stretch,VBN,O
forward,RB,O
a,DT,O
quiver,VBG,O
hand,NN,O
and,CC,O
pick,VBD,O
up,RP,O
the,DT,O
Daily,NNP,ORGANIZATION
Telegraph,NNP,ORGANIZATION
",",",",O
which,WDT,O
still,RB,O
lay,VBP,O
upon,IN,O
Holmes,NNP,PERSON
's,POS,O
knee,NN,O
.,.,O
"""",'',O
if,IN,O
you,PRP,O
have,VBD,O
look,VBN,O
at,IN,O
it,PRP,O
",",",",O
sir,NN,O
",",",",O
you,PRP,O
would,MD,O
have,VB,O
see,VBN,O
at,IN,O
a,DT,O
glance,NN,O
what,WP,O
the,DT,O
errand,NN,O
be,VBZ,O
on,IN,O
which,WDT,O
I,PRP,O
have,VBP,O
come,VBN,O
to,IN,O
you,PRP,O
this,DT,TIME
morning,NN,TIME
.,.,O
I,PRP,O
feel,VBP,O
as,IN,O
if,IN,O
my,PRP$,O
name,NN,O
and,CC,O
my,PRP$,O
misfortune,NN,O
must,MD,O
be,VB,O
in,IN,O
every,DT,O
man,NN,O
's,POS,O
mouth,NN,O
.,.,O
"""",``,O
he,PRP,O
turn,VBD,O
it,PRP,O
over,IN,O
to,IN,O
expose,VB,O
the,DT,O
central,JJ,O
page,NN,O
.,.,O
"""",'',O
here,RB,O
it,PRP,O
be,VBZ,O
",",",",O
and,CC,O
