,count,dirty_character,strongly_suggested,similarity,clean_character
373,4,Boone,,,
374,4,Hugh Boone,,,
375,4,Leon Sterndale,,,
376,4,Godfrey Emsworth,,,
377,4,Silas Brown,,,
378,4,Mr. Bates,,,
379,4,Mr. Baldwin,,,
380,4,Mr. Harding,Mr. Hardy,[1.6576237921249264],
381,4,Rachel Howells,,,
382,4,Steiner,,,
383,4,Mr. Godfrey Staunton,,,
384,4,Anna,,,
385,4,Jack McMurdo,,,
386,4,James Barclay,,,
387,4,Stepney,,,
388,4,Pinner,,,
389,4,Pietro,,,
390,4,Mr. Garcia,,,
391,4,Mr. Cecil Barker,,,
392,4,Mitton,,,
393,4,Jonathan,Jonathan Small,[1.7337993857053429],
394,4,Mr. Reuben Hayes,,,
395,4,Mr. John Douglas,,,
396,4,Enoch Drebber,,,
397,4,Woodman,,,
398,4,Miss Smith,,,
399,4,Parker,,,
400,4,Cheeseman,,,
401,4,Palmer,,,
402,4,Mr. Latimer,,,
403,4,Browner,,,
404,4,Nancy,,,
405,4,Mr. Overton,,,
406,4,Tut,,,
407,4,David,,,
408,4,Mr. Joseph Harrison,,,
409,4,Fairbairn,,,
410,4,Cornish,,,
411,4,Baskerville Hall,,,
412,4,Coxon,,,
413,4,Mr. Josiah Amberley,,,
414,4,Young,,,
415,4,Cyril Overton,,,
416,4,Mr. Aloysius Doran,,,
417,4,Abe Slaney,,,
418,4,Brother McMurdo,,,
419,4,Morse Hudson,,,
420,4,Edith,,,
421,4,Miss Violet de Merville,,,
422,4,Mr. Tregennis,,,
423,4,Miss Violet Smith,,,
424,4,Victor,,,
425,4,Tiger Cormac,,,
426,4,Mr. Amberley,,,
427,3,Houndsditch,,,
428,3,Jacobs,,,
429,3,Jacob Shafter,,,
430,3,Miss Marie Devine,,,
431,3,Hosmer Angel,,,
432,3,Jackson,Thomas J. Jackson,[1.6123724356957947],
433,3,Lal Chowdar,,,
434,3,Lal Rao,,,
435,3,Dupin,,,
436,3,Jacobson,,,
437,3,Miss Burnet,,,
438,3,Mrs. Gibson,,,
439,3,Bodymaster,,,
440,3,Jack McGinty,,,
441,3,Mr. Sutro,,,
442,3,Mr. Harker,,,
443,3,Neville,,,
444,3,Beatrice,,,
445,3,Miss Hatty Doran,,,
446,3,Walter,,,
447,3,Mr. Musgrave,,,
448,3,Devine,,,
449,3,Becher,,,
450,3,Lecoq,Monsieur Lecoq,[1.5547001962252291],
451,3,Mr. Green,,,
452,3,Mr. Grant Munro,,,
453,3,Neill,,,
454,3,Miss Dobney,,,
455,3,Whitney,,,
456,3,Dodd,,,
457,3,L. L.,,,
458,3,Mr. Stangerson,,,
459,3,Cyril,,,
460,3,Mrs. Watson,Mrs. Watson,[2.0],
461,3,Julia,,,
462,3,Miss Stoper,,,
463,3,Charles Augustus Milverton,,,
464,3,Mr. Robert Ferguson,,,
