,character1,character2,similarity,normalized
208,Baldwin,Ted Baldwin,2.64126333590815,No
209,Baldwin,Mr. Baldwin,2.64126333590815,No
210,Godfrey Milner,Godfrey,2.57167391279445,No
211,Mr. Hatherley,Mr. Victor Hatherley,2.7087545019583246,No
212,Mr. Hatherley,Hatherley,2.705385469816615,No
213,Mr. Ferguson,Ferguson,2.6765119140053444,No
214,Mr. Ferguson,Mr. Robert Ferguson,2.6697830980177097,No
215,Ferguson,Bob Ferguson,2.6765119140053444,No
216,Hatherley,Hatherley Farm-house,2.5330962108388397,No
217,Willoughby Smith,Mr. Willoughby Smith,2.8183478780421476,No
218,Harold Stackhurst,Stackhurst,2.6041666666666665,No
219,McPherson,Mr. McPherson,2.705385469816615,No
220,McPherson,MacPherson,2.584217170643565,No
221,Ian Murdoch,Murdoch,2.64126333590815,No
222,Ian Murdoch,Mr. Ian Murdoch,2.749916159490421,No
223,Murdoch,Mr. Murdoch,2.64126333590815,No
224,Anderson,Henderson,2.5279742019277496,No
225,Maudie,Maud,2.64126333590815,No
226,Miss Maud Bellamy,Maud Bellamy,2.7249895309221834,No
227,Miss Maud Bellamy,Miss Bellamy,2.76665619758885,No
228,Tom Bellamy,Bellamy,2.64126333590815,No
229,Bellamy,Mr. Bellamy,2.64126333590815,No
230,Mr. Murdoch,Mr. Ian Murdoch,2.77848758806185,No
231,Mr. Murdoch,Mr. McMurdo,2.52,No
232,Wood,Woodley,2.540440114519881,No
233,Billy,Billy James,2.512455532033676,No
234,Overton,Mr. Overton,2.64126333590815,No
235,Mr. Overton,Mr. Cyril Overton,2.7030694150420946,No
236,Mr. Cyril Overton,Cyril Overton,2.7826920704511053,No
237,Godfrey Staunton,Godfrey,2.512455532033676,No
238,Godfrey Staunton,Mr. Godfrey Staunton,2.8183478780421476,No
239,Godfrey,Godfrey Emsworth,2.512455532033676,No
240,Godfrey,Mr. Godfrey,2.64126333590815,No
241,Johnson,Mr. Johnson,2.64126333590815,No
242,Stevenson,Steve,2.6071067811865474,No
243,Staunton,Mr. Staunton,2.6765119140053444,No
244,Mr. Staunton,Mr. Godfrey Staunton,2.6626402962175946,No
245,Mr. Godfrey Staunton,Mr. Godfrey,2.6307394080047484,No
246,Jeremy Dixon,Mr. Jeremy Dixon,2.7674599496887864,No
247,St. Simon,Lady St. Simon,2.5729260790142745,No
248,Simon,Simon Bird,2.5555555555555554,No
249,Miss Hatty Doran,Miss Doran,2.6945966692414833,No
250,Aloysius Doran,Mr. Aloysius Doran,2.7960432596461864,No
251,Lady Clara St. Simon,Lady St. Simon,2.7640122971316687,No
252,Miss Flora Millar,Flora Millar,2.6340804400130926,No
253,Master Holmes,Masser Holmes,2.577777777777778,No
254,Mrs. Francis Hay Moulton,Francis H. Moulton,2.545940798634006,No
255,Frank,Frankland,2.6071067811865474,No
256,Mrs. Moulton,Mr. Moulton,2.6735708757755785,No
257,Murillo,Don Murillo,2.64126333590815,No
258,John Hector McFarlane,Mr. John Hector McFarlane,2.8573153736197217,No
259,John Hector McFarlane,John McFarlane,2.7362257748298546,No
260,Mr. McFarlane,McFarlane,2.705385469816615,No
261,Mr. Jonas Oldacre,Mr. Oldacre,2.7030694150420946,No
262,Mr. Jonas Oldacre,Jonas Oldacre,2.7826920704511053,No
263,Mr. Oldacre,Oldacre,2.64126333590815,No
264,McFarlane,John McFarlane,2.656259412347608,No
265,Mr. John Hector McFarlane,John McFarlane,2.5832022944162096,No
266,Mr. Cornelius,Cornelius,2.705385469816615,No
267,Huxtable,Mr. Huxtable,2.6765119140053444,No
268,Mr. James Wilder,Mr. Wilder,2.68126333590815,No
269,Mr. James Wilder,James Wilder,2.7674599496887864,No
270,Heidegger,Herr Heidegger,2.6690799251681208,No
271,Mr. Reuben Hayes,Reuben Hayes,2.7674599496887864,No
272,Mr. Hayes,Mrs. Hayes,2.595791244717639,No
273,Mrs. Warren,Mr. Warren,2.6388295982671233,No
274,Gennaro,Gennaro Lucca,2.6071067811865474,No
275,Tito Castalotte,Castalotte,2.6827361066896542,No
276,Castalotte,Signor Castalotte,2.6041666666666665,No
277,Josiah Amberley,Mr. Josiah Amberley,2.807843029614123,No
278,Mrs. Amberley,Mr. Amberley,2.7022064615966706,No
279,Mr. Josiah Amberley,Mr. Amberley,2.6909952192298308,No
280,Mr. Barker,Mr. Cecil Barker,2.68126333590815,No
281,Trelawney Hope,Mr. Trelawney Hope,2.7960432596461864,No
282,Trelawney Hope,Hilda Trelawney Hope,2.7219070339737743,No
283,Eduardo Lucas,Mr. Eduardo Lucas,2.7826920704511053,No
284,Henri Fournaye,M. Henri Fournaye,2.8388878188659974,No
285,Jacobs,Jacobson,2.7880113975856595,No
286,Morse Hudson,Mr. Morse Hudson,2.7674599496887864,No
287,Horace Harker,Mr. Horace Harker,2.6993587371177723,No
288,Mr. Harker,Mr. Horace Harker,2.6625,No
289,Miss Violet Smith,Miss Smith,2.6625,No
290,Ralph Smith,Ralph,2.512455532033676,No
291,Mr. Carruthers,Carruthers,2.729486191773741,No
292,Mr. Woodley,Woodley,2.64126333590815,No
293,Mr. Woodley,Mrs. Woodley,2.6735708757755785,No
294,Carruthers,Bob Carruthers,2.729486191773741,No
295,Mr. Williamson,Williamson,2.729486191773741,No
296,Mr. Williamson,Mr. Wilson,2.5293438513772286,No
297,Mr. Williamson,Williams,2.579953231859189,No
298,Williamson,Williams,2.8374726592437525,No
299,Helen Stoner,Miss Helen Stoner,2.7249895309221834,No
300,Mr. Armitage,Armitage,2.6765119140053444,No
301,Miss Helen Stoner,Miss Stoner,2.715569415042095,No
302,Mr. Robert Ferguson,Robert Ferguson,2.807843029614123,No
303,Morrison,Miss Morrison,2.5296356316989894,No
304,Morrison,Morris,2.7880113975856595,No
305,Harrow,Harrow Weald,2.565108953372333,No
306,Steve Dixie,Steve,2.512455532033676,No
307,Mrs. Maberley,Maberley,2.6248737269370848,No
308,Mary Maberley,Maberley,2.638762615825973,No
309,Douglas,Douglas Maberley,2.512455532033676,No
310,Douglas,Mr. Douglas,2.64126333590815,No
311,Langdale Pike,Langdale,2.68042928249264,No
312,Garrideb,John Garrideb,2.6248737269370848,No
313,Garrideb,Mr. Garrideb,2.6765119140053444,No
314,Garrideb,Garridebs,2.9104143466934853,No
315,John Garrideb,Mr. John Garrideb,2.7826920704511053,No
316,"U. S. A.""

Holmes",U. S. A.,2.5013873422401014,No
317,Mr. John Garrideb,Mr. Garrideb,2.7562395309221834,No
318,Mr. Nathan Garrideb,Mr. Garrideb,2.6909952192298308,No
319,Mr. Nathan Garrideb,Mr. Nathan,2.6071067811865474,No
320,Mr. Nathan Garrideb,Nathan Garrideb,2.807843029614123,No
321,Mr. Hilton Soames,Mr. Soames,2.6479166666666667,No
322,Johann Faber,Johann,2.565108953372333,No
323,Gilchrist,Jabez Gilchrist,2.6130718031613114,No
324,Gilchrist,Mr. Gilchrist,2.705385469816615,No
325,Edmunds,Mr. Edmunds,2.64126333590815,No
326,Mr. John Scott Eccles,Scott Eccles,2.5916198487095663,No
327,Mr. John Scott Eccles,Mr. Scott Eccles,2.8076920704511052,No
328,Scott Eccles,Mr. Scott Eccles,2.7674599496887864,No
329,Mr. Scott Eccles,Mr. Eccles,2.68126333590815,No
330,Mr. Henderson,Henderson,2.705385469816615,No
331,Jose,Joseph,2.64126333590815,No
332,Jimmie,Jimmie--even,2.565108953372333,No
333,Mr. John Turner,Mr. Turner,2.71845039240394,No
334,Mr. Charles McCarthy,Mr. McCarthy,2.620216053793352,No
335,McCarthy,Mr. McCarthy,2.6765119140053444,No
336,Mr. McCarthy,Mr. James McCarthy,2.722046725363373,No
337,Mr. James McCarthy,James McCarthy,2.7960432596461864,No
